region_sample,partial_r_sample
lh_bankssts,-0.1411030845944637
lh_caudalanteriorcingulate,0.006816365351629449
lh_caudalmiddlefrontal,-0.3427480406626498
lh_cuneus,-0.05578795526777319
lh_entorhinal,0.039893751345682286
lh_fusiform,-0.10028633545513019
lh_inferiorparietal,-0.25129268742470046
lh_inferiortemporal,-0.13929528598072183
lh_isthmuscingulate,-0.02160850679879829
lh_lateraloccipital,-0.14905021676915317
lh_lateralorbitofrontal,-0.1539903958003051
lh_lingual,-0.18625776156831053
lh_medialorbitofrontal,-0.23020671853686597
lh_middletemporal,-0.14515820152398382
lh_parahippocampal,-0.04282512330148774
lh_paracentral,-0.1223883320125728
lh_parsopercularis,-0.23920166244529642
lh_parsorbitalis,-0.21278403297197784
lh_parstriangularis,-0.281251074438968
lh_pericalcarine,-0.11218900435979992
lh_postcentral,-0.24679672688354315
lh_posteriorcingulate,-0.1409320697351939
lh_precentral,-0.2751651849150568
lh_precuneus,-0.2830022882772334
lh_rostralanteriorcingulate,-0.17890189409524643
lh_rostralmiddlefrontal,-0.34850425295835874
lh_superiorfrontal,-0.28322445094812304
lh_superiorparietal,-0.2775671149963911
lh_superiortemporal,-0.1557808388984902
lh_supramarginal,-0.2215555303362723
lh_frontalpole,-0.10148768507052056
lh_temporalpole,-0.17812014212236574
lh_transversetemporal,-0.1593800694199686
lh_insula,0.0029459584791432813
rh_bankssts,-0.2002601524710864
rh_caudalanteriorcingulate,-0.19721118702662432
rh_caudalmiddlefrontal,-0.23973061314690955
rh_cuneus,-0.16101832626612864
rh_entorhinal,-0.06827207479233935
rh_fusiform,-0.15102311072997854
rh_inferiorparietal,-0.2486089237464396
rh_inferiortemporal,-0.22593092927876157
rh_isthmuscingulate,-0.11523154097522276
rh_lateraloccipital,-0.10767496323884888
rh_lateralorbitofrontal,-0.23773190995779933
rh_lingual,-0.18697382611852348
rh_medialorbitofrontal,-0.2455082798914318
rh_middletemporal,-0.21176305274544888
rh_parahippocampal,-0.16886114923576648
rh_paracentral,-0.12252723409001624
rh_parsopercularis,-0.20003958876799655
rh_parsorbitalis,-0.2452079921174941
rh_parstriangularis,-0.24655606317591425
rh_pericalcarine,-0.074475180971799
rh_postcentral,-0.1735192741433982
rh_posteriorcingulate,-0.2734643588704549
rh_precentral,-0.2611053138582636
rh_precuneus,-0.2376457042612205
rh_rostralanteriorcingulate,-0.18580620514213736
rh_rostralmiddlefrontal,-0.2598968296980325
rh_superiorfrontal,-0.3062987922950962
rh_superiorparietal,-0.2969712601864478
rh_superiortemporal,-0.2507428013574674
rh_supramarginal,-0.2841101618564923
rh_frontalpole,-0.18845247507548166
rh_temporalpole,-0.14132554798527286
rh_transversetemporal,-0.17282513687804213
rh_insula,-0.04363125723208674
